C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
39 |* alf Aur                |SB*|05 16 41.35871 +45 59 52.7693          | 1.33 | 0.88 | 0.08 |-0.52 |-0.96 |G3III:                |1122|   0
40 |* del Dra                |PM*|19 12 33.3019645 +67 39 41.545581      | 4.85 | 4.07 | 3.07 | 2.37 | 1.86 |G9III                 | 257|   0
41 |* chi Dra                |SB*|18 21 03.38255 +72 43 58.2518          | 4.010| 4.070| 3.580| 3.14 | 2.83 |F7V                   | 372|   1
42 |* alf UMi                |cC*|02 31 49.09456 +89 15 50.7923          | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib                  | 589|   2
43 |* del Aur                |SB*|05 59 31.6184193950 +54 17 05.056666306| 5.580| 4.730| 3.720| 2.95 | 2.45 |K0IIIb                | 176|   0
44 |* gam Dra                |*  |17 56 36.36988 +51 29 20.0242          | 5.630| 3.760| 2.230| 1.08 | 0.23 |K5III                 | 505|   0
45 |* ksi Dra                |PM*|17 53 31.7296234 +56 52 21.514262      | 6.14 | 4.93 | 3.75 | 2.92 | 2.33 |K2III                 | 248|   0
46 |* iot Her                |bC*|17 39 27.8860861 +46 00 22.800110      | 2.940| 3.630| 3.800|     ~|     ~|B3IV                  | 424|   0
47 |* bet Dra                |*  |17 30 25.9616959 +52 18 04.999351      | 4.43 | 3.79 | 2.81 | 2.12 | 1.64 |G2Ib-IIa              | 385|   0
48 |* zet Dra                |** |17 08 47.1959624 +65 42 52.863384      | 2.63 | 3.06 | 3.17 | 3.23 | 3.35 |B6III                 | 207|   0
49 |* eta Dra                |PM*|16 23 59.48594 +61 30 51.1699          | 4.35 | 3.65 | 2.74 | 2.12 | 1.66 |G8-IIIab              | 272|   0
50 |* gam UMi                |dS*|15 20 43.7160391 +71 50 02.459561      |     ~| 3.067| 3.002|     ~|     ~|A2III                 | 139|   0
51 |* bet UMi                |V* |14 50 42.32580 +74 09 19.8142          | 5.32 | 3.55 | 2.08 | 0.97 | 0.21 |K4-III                | 294|   1
52 |* omi UMa                |PM*|08 30 15.8706401 +60 43 05.411511      | 4.79 | 4.27 | 3.42 | 2.76 | 2.31 |G5III:                | 224|   1
53 |* iot Dra                |V* |15 24 55.7746265 +58 57 57.834445      | 5.68 | 4.45 | 3.29 | 2.51 | 1.91 |K2III                 | 360|   1
54 |* alf Dra                |SB*|14 04 23.3499533 +64 22 33.061896      | 3.520| 3.640| 3.680|     ~|     ~|A0III                 | 251|   0
55 |* kap Dra                |Be*|12 33 28.9420577565 +69 47 17.633094524| 3.18 | 3.75 | 3.89 | 3.84 | 3.92 |B6IIIe                | 345|   0
56 |* lam Dra                |sr*|11 31 24.2207524 +69 19 51.869616      | 7.44 | 5.47 | 3.85 | 2.54 | 1.55 |M0III-IIIaCa1         | 118|   0
57 |* h UMa                  |PM*|09 31 31.7087322 +63 03 42.701339      | 4.10 | 4.00 | 3.67 | 3.33 | 3.15 |F0IV                  | 120|   0
58 |* alf UMa                |SB*|11 03 43.67152 +61 45 03.7249          | 3.78 | 2.86 | 1.79 | 0.98 | 0.40 |G9III+A7.5            | 414|   1
59 |* ups UMa                |dS*|09 50 59.3569995 +59 02 19.448566      | 4.19 | 4.10 | 3.81 | 3.47 | 3.31 |F0                    | 181|   0
60 |* zet UMa                |** |13 23 55.54048 +54 55 31.2671          |     ~| 2.29 | 2.27 |     ~|     ~|A1.5Vas               |  59|   1
61 |* eps UMa                |a2*|12 54 01.7495922 +55 57 35.362645      | 1.76 | 1.75 | 1.77 | 1.79 | 1.82 |A1III-IVpkB9          | 446|   0
62 |* del UMa                |PM*|12 15 25.5606327 +57 01 57.415606      | 3.460| 3.410| 3.320| 3.25 | 3.25 |A2Vn                  | 275|   0
63 |* bet UMa                |PM*|11 01 50.4765370 +56 22 56.733912      | 2.35 | 2.35 | 2.37 | 2.31 | 2.35 |A1IVps                | 397|   1
